FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.comments.length,submission_sets.comments.url,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
3412,0,2014-08-04T15:50:14.348631+00:00,568,POINT (-73.9742719999999991 40.6443000000000012),0,237418,previous-suggestion,Kensington,,This is the beginning of the bike path on Ocean Parkway,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237418/support,,2014-08-04T15:50:14.352603+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237418,,,True
3416,2,2014-08-04T15:50:14.336347+00:00,568,POINT (-73.8305919999999958 40.7138750000000016),0,237417,previous-suggestion,Forest Hills,9/21/2011 0:00:00,For people who want to take the train to Kew Gardens and bike in Forest Park or Corona Park.,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237417/support,,2014-08-04T15:50:14.340985+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237417,,,True
3418,23,2014-08-04T15:50:14.253225+00:00,568,POINT (-73.9450250000000011 40.7675160000000005),0,237416,previous-suggestion,Roosevelt Island,9/21/2011 0:00:00,,,,,,,2014-08-04T15:50:14.257099+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237416,,Serena,True
3414,0,2014-08-04T15:50:14.175069+00:00,568,POINT (-73.8186180000000007 40.6088820000000013),0,237415,previous-suggestion,Broad Channel,,For people who want to take the A train to Broad Channel,,,,,,2014-08-04T15:50:14.177758+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237415,,,True
3410,1,2014-08-04T15:50:14.083775+00:00,568,POINT (-73.9765890000000041 40.6637690000000021),0,237414,previous-suggestion,Park Slope,9/21/2011 0:00:00,A station here would be convenient for people taking the F or G to ride bikes around Prospect Park.,,,,,,2014-08-04T15:50:14.086780+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237414,,,True
3409,27,2014-08-04T15:50:13.971488+00:00,568,POINT (-73.9439409999999953 40.7693610000000035),0,237413,previous-suggestion,Upper East Side,9/21/2011 0:00:00,,,,,,,2014-08-04T15:50:13.976743+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237413,,Valda,True
3407,3,2014-08-04T15:50:13.855586+00:00,568,POINT (-73.9526639999999986 40.7592599999999976),0,237412,previous-suggestion,Roosevelt Island,9/21/2011 0:00:00,,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237412/support,,2014-08-04T15:50:13.861315+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237412,,Valda,True
3406,1,2014-08-04T15:50:13.851596+00:00,568,POINT (-73.9534040000000061 40.7577500000000015),0,237411,previous-suggestion,Upper East Side,9/21/2011 0:00:00,,,,,,,2014-08-04T15:50:13.854059+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237411,,David,True
3408,0,2014-08-04T15:50:13.839109+00:00,568,POINT (-73.9606239999999957 40.7313639999999992),0,237410,previous-suggestion,Greenpoint,,This is by the India Street pier,,,,,,2014-08-04T15:50:13.845500+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237410,,,True
3403,29,2014-08-04T15:50:13.793592+00:00,568,POINT (-73.9443490000000025 40.7678590000000014),0,237409,previous-suggestion,Roosevelt Island,9/21/2011 0:00:00,I live at the Octagon which is a green building. Great concept!,,,,,,2014-08-04T15:50:13.796386+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/237409,,Steven,True
