FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
398,0,2014-08-04T15:47:09.469754+00:00,568,POINT (-73.7933830000000057 40.7302609999999987),0,234417,previous-suggestion,Utopia,,This is a well utilized playground,,,,2014-08-04T15:47:09.473265+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234417,,Dr Joby Jacob,True
396,0,2014-08-04T15:47:09.465845+00:00,568,POINT (-73.9819430000000011 40.7781930000000017),0,234416,previous-suggestion,Upper West Side,,Great place for a stop for multiple reasons. Excellent transit access,5,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234416/support,,2014-08-04T15:47:09.468346+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234416,,,True
395,5,2014-08-04T15:47:09.442715+00:00,568,POINT (-73.9685419999999993 40.6782690000000002),0,234415,previous-suggestion,Prospect Heights,9/14/2011 0:00:00,i live near here,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234415/support,,2014-08-04T15:47:09.445197+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234415,,Blake,True
393,14,2014-08-04T15:47:09.295771+00:00,568,POINT (-73.9225799999999964 40.7675490000000025),0,234414,previous-suggestion,Long Island City,9/14/2011 0:00:00,Athens Square Park has some space that may easily be adapted for a bike share station. It is in the midst of a heavily populated area and a bustling commercial district.,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234414/support,,2014-08-04T15:47:09.298348+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234414,,,True
392,2,2014-08-04T15:47:09.289158+00:00,568,POINT (-73.7263930000000016 40.7419020000000032),0,234413,previous-suggestion,Bellaire,9/14/2011 0:00:00,Allow students/faculty to commute to from school in this area,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234413/support,,2014-08-04T15:47:09.291973+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234413,,Dr Joby Jacob,True
394,0,2014-08-04T15:47:09.278341+00:00,568,POINT (-73.9619119999999981 40.6701979999999992),0,234412,previous-suggestion,Crown Heights,,it's just far enough from Grand Army Plaza and the Franklin 2/3/4/5 and right at the museum,,,,2014-08-04T15:47:09.281331+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234412,,Carolyn,True
391,6,2014-08-04T15:47:09.273764+00:00,568,POINT (-73.9102850000000018 40.7529699999999977),0,234411,previous-suggestion,New York,9/14/2011 0:00:00,It's hard to get to these stores on public transportation but within biking distance of lots of neighborhoods,,,,2014-08-04T15:47:09.276260+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234411,,Amanda,True
390,0,2014-08-04T15:47:09.077642+00:00,568,POINT (-74.0800789999999978 40.6287170000000017),0,234410,previous-suggestion,Stapleton,,For the past three years,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234410/support,,2014-08-04T15:47:09.081549+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234410,,Geoff Celis,True
388,3,2014-08-04T15:47:09.072080+00:00,568,POINT (-73.7216289999999930 40.7466819999999998),0,234409,previous-suggestion,Glen Oaks,9/14/2011 0:00:00,Wouldn't it be great if you could bike to the Queens Farm Museum?,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234409/support,,2014-08-04T15:47:09.074898+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234409,,Dr Joby Jacob,True
389,10,2014-08-04T15:47:09.063391+00:00,568,POINT (-73.9031389999999959 40.7044309999999996),0,234408,previous-suggestion,Ridgewood,9/14/2011 0:00:00,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234408/support,,2014-08-04T15:47:09.066420+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234408,,,True
387,0,2014-08-04T15:47:09.052653+00:00,568,POINT (-74.1506750000000068 40.6020680000000027),0,234407,previous-suggestion,Bulls Head,,Getting off campus without a car is impossible,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234407/support,,2014-08-04T15:47:09.055300+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234407,,Karen,True
386,0,2014-08-04T15:47:08.903219+00:00,568,POINT (-74.0168859999999995 40.6778300000000002),0,234406,previous-suggestion,Red Hook,,Redhook has no easy access transportation,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234406/support,,2014-08-04T15:47:08.905846+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234406,,Alexandra,True
383,2,2014-08-04T15:47:08.849383+00:00,568,POINT (-73.7111579999999975 40.7498670000000018),0,234405,previous-suggestion,Glen Oaks,9/14/2011 0:00:00,A station at LIJ would allow more people to commute to/from the hospital,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234405/support,,2014-08-04T15:47:08.852456+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234405,,Dr Joby Jacob,True
385,10,2014-08-04T15:47:08.846052+00:00,568,POINT (-73.9672659999999951 40.7633560000000017),0,234404,previous-suggestion,Midtown,9/14/2011 0:00:00,i live near here.,6,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234404/support,,2014-08-04T15:47:08.848687+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234404,,laura,True
384,20,2014-08-04T15:47:08.825612+00:00,568,POINT (-73.9185889999999972 40.7429890000000015),0,234403,previous-suggestion,Sunnyside,9/14/2011 0:00:00,this is where the heart of sunnyside is and is a good place to bike east from,4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234403/support,,2014-08-04T15:47:08.828448+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234403,,Amanda,True
382,6,2014-08-04T15:47:08.707746+00:00,568,POINT (-73.8674869999999970 40.7418669999999992),0,234402,previous-suggestion,Corona,9/14/2011 0:00:00,,,,,2014-08-04T15:47:08.710297+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234402,,,True
381,0,2014-08-04T15:47:08.669161+00:00,568,POINT (-73.7854650000000021 40.7124669999999966),0,234401,previous-suggestion,Pelham Bay,,it's perfect for commuters to St. John's University,,,,2014-08-04T15:47:08.676007+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234401,,Omri,True
380,58,2014-08-04T15:47:08.644927+00:00,568,POINT (-73.9611179999999990 40.8189160000000015),0,234400,previous-suggestion,Morningside Hights,9/14/2011 0:00:00,A station outside Fairway would be a great way for people to bike home with their groceries.,7,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234400/support,,2014-08-04T15:47:08.648068+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234400,,Freddie,True
379,9,2014-08-04T15:47:08.562909+00:00,568,POINT (-73.8516620000000046 40.6810529999999986),0,234399,previous-suggestion,Woodhaven,9/14/2011 0:00:00,I work in the area and could use it to get around the neighborhood.,,,,2014-08-04T15:47:08.566018+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234399,,Dave,True
378,2,2014-08-04T15:47:08.542784+00:00,568,POINT (-74.0304689999999965 40.6320380000000014),0,234398,previous-suggestion,Bay Ridge,9/16/2011 0:00:00,Perfect spot!,,,,2014-08-04T15:47:08.551226+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234398,,Greg,True
377,0,2014-08-04T15:47:08.509782+00:00,568,POINT (-74.1064290000000057 40.6304110000000023),0,234397,previous-suggestion,Brighton Beach,,For West Brighton,,,,2014-08-04T15:47:08.512202+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234397,,Geoff Celis,True
376,0,2014-08-04T15:47:08.487772+00:00,568,POINT (-73.9605169999999958 40.7297050000000027),0,234396,previous-suggestion,Greenpoint,,With the East River Ferry nearby and once Transmitter Park opens,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234396/support,,2014-08-04T15:47:08.491505+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234396,http://a3.twimg.com/profile_images/1476157479/_img_gal_AlpertEM17_normal.jpg,Brian Seaver,True
375,2,2014-08-04T15:47:08.396530+00:00,568,POINT (-74.0089689999999933 40.6254909999999967),0,234395,previous-suggestion,Dyker Heights,9/16/2011 0:00:00,My house is ovah here.,,,,2014-08-04T15:47:08.399067+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234395,,At My House,True
372,9,2014-08-04T15:47:08.350636+00:00,568,POINT (-73.9939269999999993 40.6816540000000018),0,234394,previous-suggestion,Boerum Hill,9/14/2011 0:00:00,It's at the center of the Carroll Gardens biking universe and would be a very convenient place for zipping up to Prospect Park.,,,,2014-08-04T15:47:08.353808+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234394,,Heidi Overbeck,True
373,22,2014-08-04T15:47:08.344997+00:00,568,POINT (-73.9763740000000070 40.7882660000000001),0,234393,previous-suggestion,Upper West Side,9/14/2011 0:00:00,I live near this location and so do many others. It's also close to lots of buses and trains.,5,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234393/support,,2014-08-04T15:47:08.348982+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234393,,Ruth,True
374,0,2014-08-04T15:47:08.325338+00:00,568,POINT (-73.9064010000000025 40.7794760000000025),0,234392,previous-suggestion,Steinway,,i bike commute from that location. i would ride my own bike,,,,2014-08-04T15:47:08.328054+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234392,,,True
370,12,2014-08-04T15:47:08.169718+00:00,568,POINT (-73.8018809999999945 40.7615380000000016),0,234391,previous-suggestion,Murray Hill,9/14/2011 0:00:00,a bike share station here effectively extends the access to the LIRR at Broadway Station,,,,2014-08-04T15:47:08.172118+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234391,,Dr Joby Jacob,True
371,15,2014-08-04T15:47:08.147614+00:00,568,POINT (-73.8147550000000052 40.7628389999999996),0,234390,previous-suggestion,Murray Hill,9/14/2011 0:00:00,a bike share here effectively extends access to Murray Hill Station,,,,2014-08-04T15:47:08.150077+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234390,,Dr Joby Jacob,True
367,0,2014-08-04T15:47:08.141253+00:00,568,POINT (-73.9738640000000061 40.7909790000000001),0,234389,previous-suggestion,Upper West Side,,I live near this location,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234389/support,,2014-08-04T15:47:08.144433+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234389,,Ruth,True
369,0,2014-08-04T15:47:08.122119+00:00,568,POINT (-74.0917519999999996 40.6309320000000014),0,234388,previous-suggestion,Silver Lake,,Not only does Silver Lake have a closed off road on weekends for riders,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234388/support,,2014-08-04T15:47:08.124553+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234388,,Geoff Celis,True
368,21,2014-08-04T15:47:07.979312+00:00,568,POINT (-73.9630920000000032 40.8083269999999985),0,234387,previous-suggestion,Morningside Heights,9/14/2011 0:00:00,,,,,2014-08-04T15:47:07.982663+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234387,,Nicola,True
