FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.comments.length,submission_sets.comments.url,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
597,14,2014-08-04T15:47:20.397058+00:00,568,POINT (-73.9888409999999936 40.7781439999999975),0,234617,previous-suggestion,Upper West Side,9/14/2011 0:00:00,It is right beside riverside and many people would enjoy being able to ride near the river and park in that area.,,,5,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234617/support,,2014-08-04T15:47:20.400387+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234617,,,True
596,12,2014-08-04T15:47:20.357262+00:00,568,POINT (-73.8967020000000048 40.7060749999999985),0,234616,previous-suggestion,Ridgewood,9/14/2011 0:00:00,Major transit stop and shopping street.,,,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234616/support,,2014-08-04T15:47:20.360196+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234616,http://a0.twimg.com/profile_images/211077353/n2213115_45498840_3458_normal.jpg,Brandon Z,True
595,0,2014-08-04T15:47:20.350777+00:00,568,POINT (-73.9876610000000028 40.5925849999999997),0,234615,previous-suggestion,Gravesend,,Five schools are housed inside the Lafayette Campus and many others surround it. Students and teachers could limit the number of cars in the area by having a bike share at this location. Additionally,,,,,,2014-08-04T15:47:20.354149+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234615,,,True
594,0,2014-08-04T15:47:20.317814+00:00,568,POINT (-73.9572129999999959 40.7740819999999999),0,234614,previous-suggestion,Upper East Side,,I live on the far east side (beyond 2nd ave) and to have access to a bike to either head downtown,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234614/support,,2014-08-04T15:47:20.320433+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234614,,,True
593,23,2014-08-04T15:47:20.205578+00:00,568,POINT (-73.9396820000000048 40.8403160000000014),0,234613,previous-suggestion,Washington Heights,9/14/2011 0:00:00,A Train and IRT Station,,,,,,2014-08-04T15:47:20.208805+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234613,http://graph.facebook.com/1588072089/picture?type=large,Danny Choriki,True
592,6,2014-08-04T15:47:20.178856+00:00,568,POINT (-73.8902649999999994 40.8110619999999997),0,234612,previous-suggestion,Hunts Point,9/14/2011 0:00:00,Hunts Point has a lot of cyclists and terrible transit access. People could ride to the 6 train and have much better job access.,,,,,,2014-08-04T15:47:20.182277+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234612,,Noah,True
591,9,2014-08-04T15:47:20.132829+00:00,568,POINT (-73.9612039999999951 40.8068979999999968),0,234611,previous-suggestion,Morningside Heights,9/14/2011 0:00:00,,,,,,,2014-08-04T15:47:20.137690+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234611,,DK,True
590,23,2014-08-04T15:47:20.106226+00:00,568,POINT (-73.9546380000000028 40.7889649999999975),0,234610,previous-suggestion,Upper East Side,9/14/2011 0:00:00,It would be so great to have a station close to the many staffers at Mt. Sinai who have to walk the many blocks to the train at all hours of the night,,,8,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234610/support,,2014-08-04T15:47:20.109935+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234610,,Katherine,True
589,10,2014-08-04T15:47:20.061049+00:00,568,POINT (-73.8652660000000054 40.7356729999999985),0,234609,previous-suggestion,Corona,9/14/2011 0:00:00,i want a bike near Junction avenue and horace harding expressway west bound and in Lefrack city.,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234609/support,,2014-08-04T15:47:20.063488+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234609,,Christian,True
588,5,2014-08-04T15:47:20.007286+00:00,568,POINT (-73.9001209999999986 40.7592819999999989),0,234608,previous-suggestion,Astoria,9/14/2011 0:00:00,Heavily used but poorly accessible park,,,,,,2014-08-04T15:47:20.009771+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/234608,,parks,True
