FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.comments.length,submission_sets.comments.url,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
1998,6,2014-08-04T15:48:40.130473+00:00,568,POINT (-73.9422239999999960 40.6175100000000029),0,236017,previous-suggestion,Manhattan Terrace,9/15/2011 0:00:00,Parking is difficult and it would be easier and cheaper for nurses to get to work,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236017/support,,2014-08-04T15:48:40.133955+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236017,,yocheved,True
1997,0,2014-08-04T15:48:40.119732+00:00,568,POINT (-73.9470630000000000 40.8188510000000022),0,236016,previous-suggestion,Upper West Side,,near subway station,,,,,,2014-08-04T15:48:40.122254+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236016,,,True
1995,0,2014-08-04T15:48:40.011176+00:00,568,POINT (-73.9637040000000070 40.7719859999999983),0,236015,previous-suggestion,Upper East Side,,I began to wonder,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236015/support,,2014-08-04T15:48:40.013668+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236015,,Carrie Bradshaw,True
1996,6,2014-08-04T15:48:39.989264+00:00,568,POINT (-73.9903429999999958 40.6863400000000013),0,236014,previous-suggestion,Boerum Hill,9/15/2011 0:00:00,,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236014/support,,2014-08-04T15:48:39.991753+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236014,,Kristin,True
1994,12,2014-08-04T15:48:39.877770+00:00,568,POINT (-73.9517840000000035 40.7235259999999997),0,236013,previous-suggestion,Williamsburg,9/15/2011 0:00:00,Greenpoint has no subway lines directly into Manhattan. This is a perfect place to pick up a bike and ride it to t L train or JMZ or E.,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236013/support,,2014-08-04T15:48:39.880293+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236013,,Doug,True
1993,3,2014-08-04T15:48:39.848431+00:00,568,POINT (-73.9740139999999968 40.7827750000000009),0,236012,previous-suggestion,Upper West Side,9/15/2011 0:00:00,This location is near where I live.,,,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236012/support,,2014-08-04T15:48:39.850932+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236012,,,True
1992,1,2014-08-04T15:48:39.809341+00:00,568,POINT (-73.9636419999999930 40.7669050000000013),0,236011,previous-suggestion,Upper East Side,9/15/2011 0:00:00,,,,,,,2014-08-04T15:48:39.812117+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236011,,someone,True
1991,9,2014-08-04T15:48:39.790600+00:00,568,POINT (-73.9495739999999984 40.6511259999999979),0,236010,previous-suggestion,Prospect Lefferts Gardens,9/15/2011 0:00:00,unreliable public transport,,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236010/support,,2014-08-04T15:48:39.798050+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236010,,harley,True
1990,2,2014-08-04T15:48:39.716916+00:00,568,POINT (-73.9477069999999941 40.7520760000000024),0,236009,previous-suggestion,Hunters Point,9/15/2011 0:00:00,Z Hotel is off the beaten track and I could bike from where I live near Vernon/Jackson to the hotel bar/restaurant,,,,,,2014-08-04T15:48:39.719664+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236009,,,True
1984,5,2014-08-04T15:48:39.619085+00:00,568,POINT (-73.9703130000000044 40.7972010000000012),0,236008,previous-suggestion,Upper West Side,9/15/2011 0:00:00,I would like a bike station here because 100th Street is exactly the middle of Manhattan. In fact the name of the Hotel at 100th Street is called the Midway for that reason. Since you racist people will not put bike share stations in minority neighborho,,,,,,2014-08-04T15:48:39.621870+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236008,,Claire O'Brien,True
